Name,Country_Code,Matches,Innings_Batted,Not_outs,Runs,Highest_innings_scored,Dissmissal_in_Highest_Innnings,Batting_Average,Balls_Faced,Strike_Rate,Hundreds_Scored,Fifties,Zeroes,Fours,Sixes
SR Taylor,United States of America,6,6,0,74,24,Out,12.33,82,90.24,0,0,1,7,3
LS Livingstone,England,8,4,0,72,33,Out,18,49,146.93,0,0,0,3,5
KIC Asalanka,Sri Lanka,3,3,0,71,46,Out,23.66,51,139.21,0,0,0,1,6
NS Dhaliwal,Canada,3,3,0,71,61,Out,23.66,61,116.39,0,1,0,8,3
S Movva,Canada,3,3,1,71,37,Out,35.5,61,116.39,0,0,0,5,2
K Doriga,Papua New Guinea,4,4,1,71,27,Not Out,23.66,77,92.2,0,0,0,6,1
SA Edwards,Netherlands,4,4,0,71,31,Out,17.75,64,110.93,0,0,0,5,2
MM Ali,England,8,5,0,71,25,Out,14.2,51,139.21,0,0,0,2,5
DP Conway,New Zealand,4,4,1,70,35,Out,23.33,65,107.69,0,0,0,7,3
Harmeet Singh,United States of America,6,4,0,69,38,Out,17.25,50,138,0,0,1,4,5
S Bau,Papua New Guinea,4,4,0,67,50,Out,16.75,80,83.75,0,1,1,8,1
Vikramjit Singh,Netherlands,4,4,0,67,26,Out,16.75,71,94.36,0,0,0,5,3
MD Patel,United States of America,2,2,0,66,50,Out,33,54,122.22,0,1,0,9,1
CJ Anderson,United States of America,6,5,1,66,29,Out,16.5,72,91.66,0,0,0,1,3
N Davin,Namibia,4,4,0,64,24,Out,16,66,96.96,0,0,0,7,2
Aasif Sheikh,Nepal,3,3,0,63,42,Out,21,71,88.73,0,0,0,9,1
AD Mathews,Sri Lanka,3,3,1,62,30,Not Out,31,50,124,0,0,0,2,4
TH David,Australia,7,5,1,61,24,Not Out,15.25,41,148.78,0,0,0,5,3
GJ Delany,Ireland,3,3,0,60,31,Out,20,40,150,0,0,0,3,5
PS Athavale,Oman,3,3,0,59,54,Out,19.66,44,134.09,0,1,1,6,2
GD Phillips,New Zealand,4,2,0,58,40,Out,29,51,113.72,0,0,0,5,2
JN Frylinck,Namibia,4,3,0,58,45,Out,19.33,68,85.29,0,0,0,8,0
Rashid Khan,Afghanistan,8,7,2,57,19,Not Out,11.4,46,123.91,0,0,0,5,4
Mohammad Nabi,Afghanistan,8,8,3,56,16,Not Out,11.2,70,80,0,0,2,3,1
DM de Silva,Sri Lanka,2,2,0,55,34,Out,27.5,52,105.76,0,0,0,4,1
MR Adair,Ireland,3,3,0,52,34,Out,17.33,45,115.55,0,0,0,5,1
D Wiese,Namibia,4,4,1,51,27,Out,17,40,127.5,0,0,0,2,4
